START	END	STRAND	Lelandais log2 chip-seq
2636	1608	-	0.6328616083364743
4809	1608	-	0.467126010427298
4809	2671	-	0.467126010427298
11739	12689	+	-1.341036917835067
15012	15233	+	0.21931302840447595
18876	18037	-	0.40363273600659455
21757	19487	-	0.9714308478032291
22260	24440	+	0.7031885821817817
25241	27622	+	0.5215371205795226
28586	27915	-	0.6520766965796931
29069	29869	+	0.18359993833938887
30775	30179	-	0.4384421036137876
30978	32507	+	0.4384421036137876
33056	33625	+	0.5594274086140186
36349	33995	-	1.3929593338197792
40371	37162	-	-0.5128127149653209
41556	42320	+	-0.5128127149653209
44030	42636	-	0.2739227219765299
47557	50880	+	0.8194277543581792
53497	51137	-	0.5501970825604795
57722	55014	-	0.7281953845384741
58830	62198	+	0.5888045670155504
63225	62416	-	0.09494840405526271
64948	63710	-	0.060372617979481846
65286	67226	+	0.6298883716026726
69203	67281	-	0.6266727526059934
69832	70485	+	0.8839029350771288
70937	71320	+	0.6266727526059934
71735	71627	-	1.577924949981222
73333	73623	+	0.4274212237346763
74767	76416	+	1.1285842060614129
77251	77360	+	-0.14235292341133063
77578	81366	+	0.06558834162757689
84913	81425	-	0.8358806202388933
85331	86425	+	0.8132314883942734
87540	86551	-	0.07108309806148269
87841	90396	+	-0.07454695336505403
92752	90494	-	0.7905466343710503
92985	97265	+	0.814696897398772
98052	97372	-	0.7612131404128833
98272	99483	+	0.9183162024062921
100646	100410	-	0.6166713604484945
101642	102301	+	0.2867134023033044
102793	104028	+	0.6037723504959145
106316	104865	-	0.17382945589822832
106866	108791	+	0.9475325801058645
110616	109009	-	0.7911345695992736
111480	111689	+	0.4489848312021816
112037	114442	+	0.7911345695992736
114809	116638	+	0.5117135186905176
117020	119572	+	0.48711517732301146
119731	120042	+	1.131911675505581
121067	122908	+	1.0138057995250305
125780	126661	+	-0.09019780897157814
129101	127506	-	0.48861863165995134
131362	135567	+	0.5765009219729601
136262	137695	+	0.6532685141120651
140305	144693	+	0.3514723705013778
145388	146833	+	0.624133098001834
147313	149436	+	1.0356239097307212
149750	152194	+	1.4988058569714418
153155	154933	+	0.34034013200124263
155457	155554	+	1.4607295899717125
156342	155862	-	0.16868183459168035
157645	158112	+	0.9798221180623697
158780	159037	+	-0.10289990758429089
159914	159165	-	0.5794243171797262
161327	162601	+	0.6404576133128598
163770	164126	+	1.0688950812110678
166920	164836	-	0.5761922910934242
169167	167242	-	0.8645365827048812
169567	170202	+	0.19930880822340669
170940	172349	+	0.5182363869203431
174425	172608	-	1.1415026809632285
176724	175018	-	0.5604679388004076
181871	180180	-	1.1672947453976406
185779	184013	-	0.10852445677816906
190704	187900	-	0.3073236819785906
193719	191335	-	0.425606740989031
194560	194826	+	0.6485276294986223
195146	206377	+	0.5797822616154761
206600	206530	-	1.4545658634654814
206981	208201	+	1.6141088463806725
210338	208311	-	0.11211036632153744
211087	210707	-	0.6480146712564578
213901	211829	-	0.3608817292319384
215768	218098	+	0.6117294102839417
218415	218487	+	1.2291339992155033
220676	218655	-	0.409520494311278
221288	222934	+	0.6391182707680616
224395	223148	-	0.6374299206152918
225263	226444	+	-0.11103131238874385
226691	226620	-	2.628589433121414
228762	226945	-	1.5114058937510753
231214	229556	-	0.04679421147894125
237469	235820	-	0.19122440324276857
244683	245501	+	-0.12432813500220158
248522	249340	+	0.5467431784906659
250851	251690	+	1.1312445332782528
253862	252192	-	0.7713756249520375
254861	255127	+	0.7713756249520375
257581	256250	-	-0.1480986389891339
258667	259626	+	-1.1045559310425899
261421	260084	-	1.2741749634389943
263575	261812	-	1.8798913338484182
263902	263974	+	1.6686595807752975
265873	264152	-	0.9927684307689242
266055	268655	+	1.1118928800708971
269090	270040	+	0.9842326841416834
270481	271440	+	0.7818198299504666
272874	271684	-	0.4739311883324123
276915	278054	+	0.9529148639302587
278467	281085	+	1.6163266716304916
281463	281161	-	0.814133454688666
281637	283403	+	0.6057210608879537
286783	283634	-	0.932885804141463
288148	287318	-	0.991386869695292
290448	288373	-	1.016119665363277
290595	291704	+	0.08988550351719511
291888	292160	+	0.5288194226836225
292470	293759	+	0.4881009614685672
295291	293966	-	0.7162070339994088
295534	296371	+	0.5589672921882118
296851	297783	+	0.7162070339994088
300358	297872	-	0.6717673282584287
301944	300736	-	0.45500390659648854
302262	302576	+	0.6717673282584287
302938	304443	+	0.45500390659648854
305775	304789	-	0.5703157247567548
306353	306925	+	0.6426779985774437
308032	307103	-	0.932885804141463
308323	308547	+	0.5708873155094334
310062	308689	-	0.32650082467718644
310323	311828	+	0.7959861079784067
312174	312479	+	0.7605340653046107
313334	312728	-	0.9059565100848622
313662	316040	+	0.9448584458075391
316806	316567	-	1.757739887017568
317961	319910	+	1.757739887017568
320671	322666	+	0.6286329723781329
323377	323030	-	0.9941234336633308
324013	324342	+	0.9936022288018493
325306	324581	-	0.8564091463711503
326594	325788	-	0.4405725913859815
328577	331105	+	-0.06246408694665355
331579	333465	+	1.3423921974470778
335069	333822	-	-0.15041684255309845
337676	336117	-	0.09310940439148147
338516	339868	+	0.5734668618833269
340501	342378	+	0.6507645591169023
342855	343420	+	-0.1443899093351748
345759	343987	-	1.5514099410101296
347362	346748	-	0.8237493603082728
348708	349451	+	0.8237493603082728
349884	353339	+	0.44745897697122117
353884	355344	+	0.03683676818037155
357035	355620	-	1.0223678130284546
359678	357639	-	1.5092351745579111
360213	360141	-	1.5092351745579111
361030	360779	-	-0.14839183989267116
364813	361832	-	-0.09515723304034009
365696	365127	-	0.6335724449457778
366934	366290	-	-0.24709286196477234
372592	369404	-	0.37851162325372983
375301	373100	-	0.9468886635404377
